group,label,category,low_days,high_days,anchor_days,primary_citation,supporting_citation,notes
variable_dynamics,Dissolved oxygen (diel swings),biogeochemistry,0.08,1,0.3,"Staehr et al. 2010 Limnol. Oceanogr. Methods doi:10.4319/lom.2010.8.628","Dugan et al. 2016 Inland Waters doi:10.5268/IW-6.4.883; Jane et al. 2021 Nature doi:10.1038/s41586-021-03550-y",Eutrophic lakes swing 5-15 mg/L over 6-12 h; requires <=10-min sampling to resolve metabolism
variable_dynamics,Nutrient pulses (storm N/P),biogeochemistry,0.25,3,1,"Bieroza et al. 2018 Sci Total Environ doi:10.1016/j.scitotenv.2017.11.179","Jarvie et al. 2018 Hydrol. Process. doi:10.1002/hyp.13251; Rode et al. 2016 ES&T doi:10.1021/acs.est.6b02155",Storm-driven nutrient flush on hours; grab sampling misses 60-90% of load
variable_dynamics,Streamflow events,hydrology,0.25,3,1,"Kirchner 2006 Water Resour. Res. doi:10.1029/2005WR004362","McMillan 2020 WIREs Water doi:10.1002/wat2.1450; Blaen et al. 2016 STE doi:10.1016/j.scitotenv.2016.06.116",Small catchments hours; large basins 1-3 days
variable_dynamics,DOM molecular composition,biogeochemistry,0.25,60,10,"Kellerman et al. 2015 Nat. Commun. doi:10.1038/ncomms8273","Spencer et al. 2015 GRL doi:10.1002/2015GL063498; Howard et al. 2024 L&O Letters doi:10.1002/lol2.10351",Photochemical turnover hours; bulk DOM weeks-months
variable_dynamics,Phytoplankton blooms,biology,3,30,10,"Huisman et al. 2018 Nat. Rev. Microbiol. doi:10.1038/s41579-018-0040-1","Ho Michalak Pahlevan 2019 Nature doi:10.1038/s41586-019-1648-7; Carey et al. 2022 GCB doi:10.1111/gcb.16256",Onset days; persistence weeks; chl-a forecast horizons 1-14 d
variable_dynamics,Macroinvertebrate turnover,biology,90,1100,365,"Bonada et al. 2006 Annu. Rev. Entomol. doi:10.1146/annurev.ento.51.110104.151124","Statzner & Bêche 2010 Freshw. Biol. doi:10.1111/j.1365-2427.2009.02369.x",Seasonal community signals; decadal trait turnover
variable_dynamics,Fish recruitment,biology,180,1800,365,"Houde 2008 J. Northwest Atl. Fish. Sci. doi:10.2960/J.v41.m634","Myers 2001 ICES J. Mar. Sci. doi:10.1006/jmsc.2001.1109",Year-class strength set in first year; cohort effects multi-year
sampling_frequency,NEON aquatic sensors,sensor,0.0035,0.17,0.01,"Thomas et al. 2023 Frontiers Ecol Environ doi:10.1002/fee.2616","NEON.DOC.001152 water-quality data product specification; Olsson et al. 2025 Ecol Apps doi:10.1002/eap.70004",5-min raw measurements; 15-min data products; 4-h vertical profiles at deeper lake sites (TOOK; PRPO)
sampling_frequency,GLEON sensor buoys,sensor,0.0007,0.04,0.007,"Hamilton et al. 2015 Inland Waters doi:10.5268/iw-5.1.566","Meinson et al. 2016 Aquat. Ecol. doi:10.1007/s10452-015-9561-0; Hipsey et al. 2019 GMD doi:10.5194/gmd-12-473-2019",Sensor cadence typically 1-15 min on GLEON buoys; varies per lake
sampling_frequency,High-frequency research lakes,sensor,0.04,1,0.25,"Carey et al. 2022 GCB doi:10.1111/gcb.16256","Read et al. 2019 L&O Letters doi:10.1002/lol2.10114",Forecast-grade lake stations at sub-hourly sensor cadence
sampling_frequency,GRDC streamflow,hydrology,0.04,1,1,"GRDC 2020 River Discharge Data User Manual, BfG","Do et al. 2018 ESSD doi:10.5194/essd-10-765-2018",Daily dominates; hourly subset for real-time gauges
sampling_frequency,Structured citizen science,citizen,14,60,30,"Thornhill et al. 2019 Freshwater Sci. doi:10.1086/701665","Loiselle et al. 2017 STE doi:10.1016/j.scitotenv.2017.04.164",Riverfly and FreshWater Watch typically monthly
sampling_frequency,WFD compliance monitoring,regulatory,30,90,60,"EC 2003 WFD CIS Guidance Document No. 7: Monitoring","EEA 2018 European waters EEA Report 7/2018; Poikane et al. 2020 STE doi:10.1016/j.scitotenv.2020.140075",Surveillance >=1/yr; operational monthly-quarterly
sampling_frequency,GEMS/Water,regulatory,90,365,180,"UN Environment 2018 GEMS/Water Programme Strategy","GRQA Virta et al. 2023 ESSD doi:10.5194/essd-15-5551-2023",Target monthly; realised quarterly-annual; severe under-reporting outside OECD
sampling_frequency,GBIF opportunistic,citizen,90,1825,365,"Heberling et al. 2021 PNAS doi:10.1073/pnas.2018093118","Troudet et al. 2017 Sci. Rep. doi:10.1038/s41598-017-09084-6",Irregular; effective annual cadence with strong taxonomic and temporal bias
sampling_frequency,US NARS 5-yr cycle,regulatory,1460,1825,1825,"USEPA 2020 National Aquatic Resource Surveys Design","Paulsen et al. 2008 J. N. Am. Benthol. Soc. doi:10.1899/08-098.1",Rotating 5-year cycle across NRSA/NLA/NCCA/NWCA
